AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,Emie,FOXTERRMN ,FOXTER,BlackWhite,Y,F,21,BURNSIDE
D         ,Tia,LABRADORX ,LABRAD,Black     ,Y,F,14,COOLUM BEACH
Cat       ,Tiger,TABBY     ,TABBY ,Unknown   ,Y,F,14,DOONAN
Cat       ,Isobel,PERSIAN X ,PERSIA,Blue      ,Y,M,14,DOONAN
Cat       ,Twinky,TABBY     ,TABBY ,Unknown   ,Y,F,14,DOONAN
D         ,Duke,COLLBORDRX,COLLBO,BlackTanWh,N,M,13,WEYBA DOWNS
D         ,Kirby,KELPIEAUSX,KELPIE,Brindle   ,Y,F,11,MUDJIMBA
Cat       ,Alfie,DOMSH     ,DOMSH ,Ginger    ,Y,M,10,MOUNTAIN CREEK
D         ,Toby,COLLBORDR ,COLLBO,Chocolate ,Y,M,11,NINDERRY
D         ,Louis,FOXTERRMN ,FOXTER,BlackTanWh,Y,M,11,BUDERIM
Cat       ,Bear,TABBY     ,TABBY ,Grey      ,Y,F,13,EUMUNDI
D         ,Joe,MALTESEX  ,MALTES,White     ,Y,M,11,PALMWOODS
Cat       ,Sari,BIRMAN    ,BIRMAN,WhiteGrey ,Y,F,11,BIRTINYA
Cat       ,Sniggy,DOMSH     ,DOMSH ,BlackGrey ,Y,M,18,TANAWHA
