Bibliotek{kortNavn='København', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='1172', by='København K', vejNavn='Krystalgade', vejNr=15}, lat=55.680887, lng=12.573619}
Bibliotek{kortNavn='Blågården', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2200', by='København N', vejNavn='Blågårds Plads 5', vejNr=0}, lat=55.6860904, lng=12.5567168}
Bibliotek{kortNavn='Christianshavn', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='1420', by='København K', vejNavn='Dronningensgade', vejNr=53}, lat=55.6723406, lng=12.5921292}
Bibliotek{kortNavn='Islands Brygge', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2300', by='København S', vejNavn='Njalsgade', vejNr=15}, lat=55.6665428, lng=12.5791908}
Bibliotek{kortNavn='Øbro', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2100', by='København Ø', vejNavn='Jagtvej', vejNr=227}, lat=55.709173, lng=12.576458}
Bibliotek{kortNavn='Rentemestervej', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2400', by='København NV', vejNavn='Rentemestervej', vejNr=76}, lat=55.708421, lng=12.52288}
Bibliotek{kortNavn='Nørrebro', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2200', by='København N', vejNavn='Bragesgade', vejNr=8}, lat=55.6990425, lng=12.5432118}
Bibliotek{kortNavn='Solvang Bibliotek', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2300', by='København S', vejNavn='Remisevej', vejNr=14}, lat=55.6487443, lng=12.5955017}
Bibliotek{kortNavn='Sundby Bibliotek', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2300', by='København S', vejNavn='Kvarterhuset Jemtelandsgade 3', vejNr=0}, lat=55.6651998, lng=12.6038686}
Bibliotek{kortNavn='Bibliotekshuset', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2300', by='København S', vejNavn='Rodosvej', vejNr=4}, lat=55.650359, lng=12.6132581}
Bibliotek{kortNavn='Sydhavnen Bibliotek', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2450', by='København SV', vejNavn='Wagnersvej', vejNr=19}, lat=55.6468105, lng=12.529623}
Bibliotek{kortNavn='Vesterbro', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='1758', by='København V', vejNavn='Lyrskovgade', vejNr=4}, lat=55.667836, lng=12.543681}
Bibliotek{kortNavn='Østerbro', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2100', by='København Ø', vejNavn='Dag Hammarskjölds Alle 19', vejNr=0}, lat=55.694579, lng=12.581699}
Bibliotek{kortNavn='Ørestad Bibliotek', væsensNavn='Københavns Biblioteker', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2300', by='København S', vejNavn='Arne Jacobsens Allé 19', vejNr=0}, lat=55.6313466, lng=12.5809647}
Bibliotek{kortNavn='Frederiksberg Bibliotek', væsensNavn='Biblioteket Frederiksberg', type='Folkebibliotek', id=0, adresse=Adresse{postNr='2000', by='Frederiksberg', vejNavn='Falkoner Plads 3', vejNr=0}, lat=55.6810034, lng=12.5303327}
